Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,160,21678,13933,9614,2384,4164,280,3581,20167,3,9
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat,160,21678,13933,9614,2384,4164,280,3581,20167,3,9
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\GroundTruthParser,2,221,159,103,29,30,5,32,197,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\GroundTruthParser\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\NoGUIRhythmCat,2,49,25,10,0,7,0,17,120,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\NoGUIRhythmCat\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\PrintAllCodelets,6,381,241,180,12,48,2,92,347,0,2
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\PrintAllCodelets\Properties,3,127,60,25,4,20,2,47,269,0,2
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat,144,20378,13122,9007,2331,3948,269,3308,19027,3,7
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCatTests,6,649,386,314,12,131,4,132,476,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCatTests\Properties,1,36,15,3,0,5,0,16,118,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets,50,5937,3171,2091,622,1278,26,1488,7832,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Analogy,9,1390,737,498,164,258,4,395,2107,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Expectations,7,736,381,251,72,156,2,199,1061,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Form,1,197,112,76,23,43,1,42,322,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\GroupReasons,10,1119,589,384,110,236,8,294,1520,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Grouping,9,930,466,297,81,228,6,236,1189,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Hierarchy,1,357,237,157,66,61,3,59,364,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelets\Links,11,1074,578,385,96,262,1,234,1115,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Expectations,5,393,277,197,54,91,2,25,117,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\GroupReasons,23,585,409,284,23,146,0,30,114,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\MusicPrimitives,14,2809,2053,1382,289,405,133,351,3048,3,6
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Properties,1,37,15,3,0,5,0,17,120,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Relationships,13,418,284,200,25,109,0,25,84,0,0
